,renda mensal per capita,freezer,V2103,V2105,V2107,V2109,deixou de ter alimentos saudaveis,nao comeu suficiente,diminiui quantidade de alimento,deixou de fazer refeicao,sentiu fome,menos de uma refeicao/dia
52849,2.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
52854,2.0,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não
52855,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
52876,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
52883,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
52889,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
52890,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
52897,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
52898,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
52901,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
52905,1.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
52907,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
52912,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
52914,1.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
52919,1.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
52920,2.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
52922,2.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
52927,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não
52932,0.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
52934,0.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
52947,2.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não
52965,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
52971,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
52977,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
52985,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não
52986,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
52990,1.0,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não
52993,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
52994,1.0,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim
53033,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
53046,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53071,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
53077,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
53079,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
53080,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
53084,2.0,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não
53085,1.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
53087,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53105,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53109,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53111,4.0,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
53113,1.0,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não
53117,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
53119,0.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53121,99.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
53125,1.0,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não
53126,1.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
53127,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53128,1.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
53129,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
53130,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53131,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
53133,2.0,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não
53136,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53137,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
53138,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53139,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53144,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
53145,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
53147,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53149,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
53150,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
53151,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
53153,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não
53196,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53215,1.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
53225,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
53232,99.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
53233,3.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
53261,6.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53266,3.0,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
53269,4.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53275,4.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
53276,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53278,4.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
53286,4.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
53287,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
53291,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53299,3.0,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
53308,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53321,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53327,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53338,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
53342,2.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não
53350,1.0,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não
53354,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53359,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53365,2.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
53370,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53372,1.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
53380,1.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
53383,3.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
53385,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
53424,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53436,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53437,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53443,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53447,2.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
53448,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53451,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53453,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53456,2.0,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não
53459,2.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
53460,1.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
53469,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53472,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53498,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
53499,3.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
53503,99.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
53504,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
53507,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53509,1.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
53515,4.0,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
53525,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53531,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
53533,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53534,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53535,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53536,3.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
53538,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53540,3.0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
53544,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53545,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
53548,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
53550,2.0,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim
53552,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
53554,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53563,3.0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
53565,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53567,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53568,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
53571,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53572,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
53594,3.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
53595,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53596,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53598,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53606,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53609,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53610,3.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53612,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53614,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53616,3.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
53618,4.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53620,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53622,3.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
53623,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53645,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53652,99.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
53698,1.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
53704,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53705,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53706,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53712,1.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
53714,1.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
53717,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53720,1.0,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não
53726,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
53727,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53728,1.0,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não
53729,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
53740,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53747,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53749,2.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
53751,3.0,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não
53753,3.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
53754,3.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
53756,1.0,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não
53766,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53767,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53775,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
53783,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
53801,1.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
53804,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
53814,2.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
53818,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53819,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53832,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53851,3.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
53861,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53866,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53874,3.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
53878,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
53879,0.0,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
53882,99.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
53886,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53896,1.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
53901,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53915,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53920,1.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
53921,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53933,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53936,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53938,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
53952,2.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não
53955,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
53959,1.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
53981,2.0,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não
53991,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
53994,1.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
54006,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54010,1.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
54015,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
54016,1.0,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não
54025,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54026,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
54030,1.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54031,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54033,2.0,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
54038,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
54040,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
54050,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54053,2.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
54064,2.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
54067,1.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
54084,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
54096,1.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
54118,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
54119,2.0,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
54120,99.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54121,99.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54134,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54135,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54146,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54152,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54159,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
54163,2.0,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não
54164,3.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
54165,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
54166,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
54169,1.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54173,3.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
54175,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54179,3.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
54182,99.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54185,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
54187,3.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
54199,3.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
54202,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
54215,1.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
54219,1.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim
54220,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
54236,2.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54238,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
54242,2.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
54244,3.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54245,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
54249,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54252,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54259,2.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
54262,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
54273,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
54278,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54279,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54280,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54284,1.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
54286,2.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
54289,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
54294,3.0,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não
54298,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54300,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54306,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
54309,99.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54312,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
54315,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54316,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54317,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
54320,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54322,99.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
54323,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54324,1.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
54327,99.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
54331,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54344,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54384,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54385,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54389,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54394,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54397,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54407,3.0,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
54409,2.0,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não
54410,2.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
54411,1.0,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não
54415,3.0,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não
54439,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
54443,3.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
54449,3.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
54452,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
54455,3.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
54457,2.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54461,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
54467,3.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
54473,2.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
54478,3.0,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não
54484,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não
54487,2.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54490,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54491,1.0,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
54492,3.0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
54493,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
54500,1.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
54504,2.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
54505,2.0,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
54509,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54520,2.0,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não
54529,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54530,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
54535,2.0,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
54537,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54539,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
54546,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
54568,99.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
