,renda mensal per capita,freezer,V2103,V2105,V2107,V2109,deixou de ter alimentos saudaveis,nao comeu suficiente,diminiui quantidade de alimento,deixou de fazer refeicao,sentiu fome,menos de uma refeicao/dia
1532,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1533,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1535,1.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1548,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1556,3.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
1594,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1597,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1598,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1599,1.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1600,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1601,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1602,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1603,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1604,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1605,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1609,99.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1622,1.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
1623,3.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
1625,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1629,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1630,1.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não
1631,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1634,3.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1639,5.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
1641,1.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1646,0.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
1647,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
1648,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1651,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1652,5.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1653,5.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1654,5.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1656,5.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1657,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1659,3.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1661,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1662,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
