,renda mensal per capita,seguranca alimentar,freezer,V2103,V2105,V2107,V2109,deixou de ter alimentos saudaveis,nao comeu suficiente,diminiui quantidade de alimento,deixou de fazer refeicao,sentiu fome,menos de uma refeicao/dia,recebeu ajuda em alimentos
515,3.0,2.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
524,3.0,2.0,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não
534,6.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
545,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
558,2.0,2.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
559,6.0,2.0,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
564,2.0,2.0,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
568,2.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
572,3.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
577,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
585,1.0,4.0,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
592,3.0,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
594,3.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim
601,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não
602,4.0,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
604,3.0,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
607,1.0,2.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
609,1.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
612,4.0,2.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
613,2.0,2.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
614,6.0,2.0,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
618,3.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
619,4.0,2.0,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
620,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
621,3.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não
622,3.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
623,1.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
624,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim
625,4.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
629,2.0,3.0,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
630,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
631,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
634,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
641,3.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
646,2.0,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim
647,2.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
649,3.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
651,2.0,3.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não
652,3.0,2.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
653,3.0,2.0,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
654,3.0,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
655,3.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
658,3.0,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
660,3.0,2.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
661,1.0,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
666,3.0,2.0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim
669,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não
677,3.0,2.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
679,2.0,2.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
681,2.0,2.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
683,3.0,3.0,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não
684,3.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
685,3.0,4.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
690,4.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim
695,2.0,4.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
700,3.0,2.0,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
702,3.0,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
708,3.0,2.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
712,3.0,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
735,2.0,2.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
739,2.0,3.0,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
745,2.0,3.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
748,1.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
755,3.0,2.0,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
756,4.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
759,2.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
760,3.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
761,2.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
762,2.0,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
784,3.0,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
800,3.0,2.0,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
802,4.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
804,3.0,3.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não
808,2.0,2.0,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
812,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
818,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
820,1.0,2.0,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
836,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
839,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
871,2.0,2.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
877,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
878,3.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
880,1.0,3.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
887,3.0,2.0,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
907,3.0,2.0,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
908,3.0,2.0,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
915,0.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
916,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
924,4.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
930,4.0,2.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
936,4.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
959,4.0,2.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
971,3.0,2.0,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
972,3.0,2.0,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
983,99.0,2.0,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
994,3.0,2.0,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
998,2.0,2.0,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim
999,3.0,2.0,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
1007,4.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1008,4.0,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
1023,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
1039,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
1045,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1047,1.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
1048,2.0,2.0,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
1053,2.0,2.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1084,3.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim
1088,3.0,2.0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1099,1.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1105,6.0,2.0,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
1115,2.0,2.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1130,4.0,2.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1132,4.0,2.0,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1136,2.0,4.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
1138,4.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1139,1.0,2.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1140,1.0,3.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1144,1.0,2.0,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
1145,2.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1147,2.0,3.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1151,3.0,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
1153,3.0,2.0,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
